,ID,text,type,tags,rating,num_ratings,link
0,0,"A bear walks into a bar and says to the bartender, ""I'll have a pint of beer and a.......... packet of peanuts."" The bartender asks, ""Why the big pause?""  ",Animal,,,,http://jokes.cc.com/funny-animal/m255kl/a-bear-walks-into-a-bar---
1,1,"A grasshopper walks into a bar, and the bartender says, ""Hey, we have a drink named after you!"" The grasshopper looks surprised and asks, ""You have a drink named Steve?"" ",Animal,,,,http://jokes.cc.com/funny-animal/r2b6xg/a-grasshopper-walks-into-a-bar---
2,2,Q: Why did the chewing gum cross the road? A: He was stuck to the chicken's foot.  ,Animal,,,,http://jokes.cc.com/funny-animal/lx0jc4/a-gummy-problem
3,3,"A kangaroo walks into a bar and tells the bartender, ""Blood is the lipstick of all wounds."" The bartender does not know how he said this or why.  ",Animal,,,,http://jokes.cc.com/funny-animal/2rcy7k/a-kangaroo-walks-into-a-bar---
4,4,"A man and his pet giraffe walk into a bar and start drinking. As the night goes on, they get  drunk, and the giraffe finally passes out. The  man decides to go home. As he's leaving, the man is approached by the barkeeper who says, ""Hey, you're not gonna leave that lyin' here, are ya?"" ""Hmph,"" says the man. ""That's not a lion -- it's a giraffe.""  ",Animal,,,,http://jokes.cc.com/funny-animal/noy0g0/a-man-and-his-pet-giraffe-walk-into-a-bar---
5,5,Never play leapfrog with a unicorn. ,Animal,,,,http://jokes.cc.com/funny-animal/xmxdi4/a-piece-of-advice
6,6,"Two rednecks walk down a dirt path. One man has a big sack over his shoulder. The other man asks what's in the sack.
 
 The first man says, ""I got me some chickens for dinner tonight.""
 
 The other man asks how many chickens are in the sack.
 
 ""Well, I'll tell you,"" replies the first redneck, ""If you can guess how many chickens I got in this here sack, I'll give them both to you."" ",Animal,,,,http://jokes.cc.com/funny-animal/mgwa7d/a-sack-full-of-chickens
7,7,"Q: What are a woman's four favorite animals? A: A mink in the closet, a Jaguar in the garage, a tiger in the bedroom and an ass to pay for it all.  ",Animal,,,,http://jokes.cc.com/funny-animal/kra2kl/a-woman-s-four-favorite-animals
8,8,"Cats are cool because you don't have to buy them. You see them on the street, take them home -- they're yours. You ain't never seen a cat being bought out of a pet store. They just sit in the pet store. They're under there like, 'Meow,' and you be looking at them like, 'Oh they're so cute. Let's go find one like that.' ",Animal,,,,http://jokes.cc.com/funny-animal/tyhmig/a-j--jamal--free-cats
9,9,"I read that, apparently, 13% of young men living in rural America lose their virginity to livestock. That is not right -- those poor cows. I'm thinking of starting the first annual 'Take Back the Field' rally. I've got some slogans for the cows, like, 'Moo Means No!' Or, 'Hey, stop treating us like women and start treating us like pieces of meat!' ",Animal,,,,http://jokes.cc.com/funny-animal/i95dam/amanda-melson--take-back-the-field
10,10," An elderly lady phoned her telephone company to report that her telephone failed to ring when her friends called - and that on the few occasions when it did ring, her pet dog always moaned right before the phone rang. The telephone repairman proceeded to the scene, curious to see this psychic dog or senile elderly lady. He climbed a nearby telephone pole, hooked in his test set, and dialed the subscriber's house. The phone didn't ring right away, but then the dog moaned loudly and the telephone began to ring. Climbing down from the pole, the telephone repairman found: 1. The dog was tied to the telephone system's ground wire via a steel chain and collar. 
 2. The wire connection to the ground rod was loose.
 3. The dog was receiving 90 volts of signaling current when the phone number was called.
 4. After a couple of such jolts, the dog would start moaning and then urinate on himself and the ground.
 5. The wet ground would complete the circuit, thus causing the phoneto ring.
  Which demonstrates that some problems CAN be fixed by pissing andmoaning. ",Animal,,,,http://jokes.cc.com/funny-animal/2h8d6d/an-elderly-lady-phoned-her-telephone-company
11,11,"People worry about health at the wrong times, you ever notice that? 'Ooh, there's a hair in my food.' You're eating bacon -- there's a pig's ass in your food. ",Animal,,,,http://jokes.cc.com/funny-animal/ah4luj/andrew-norelli--wrong-time-to-worry
12,12,Q: What has more lives than a cat? A: A frog -- it croaks every night.  ,Animal,,,,http://jokes.cc.com/funny-animal/71ler2/animal-lives
13,13,Q: What animal rotates at least 200 times after it dies? A: A rotisserie chicken.  ,Animal,,,,http://jokes.cc.com/funny-animal/dq3rej/animal-rotation
14,14,Q: What do you call a masturbating bull? A: Beef Strokinoff.  ,Animal,,,,http://jokes.cc.com/funny-animal/45vdkl/another-bull-name
15,15,Q: Why did the stoner cross the road? A: Who else would follow a chicken? ,Animal,,,,http://jokes.cc.com/funny-animal/x4zlq4/another-chicken--another-road
16,16,"Q: Why did the ants dance on the jam jar? A: The lid said, ""Twist to open."" ",Animal,,,,http://jokes.cc.com/funny-animal/7iu3g2/ants-dancing
17,17,Q: Why did the ant fall off the toilet bowl? A: He got pissed off. ,Animal,,,,http://jokes.cc.com/funny-animal/iv4axt/ants-in-your-pants
18,18,Q: What did the apple say to the worm? A: You're boring me.  ,Animal,,,,http://jokes.cc.com/funny-animal/vgtnmu/apple---worm
19,19,"The best way to smuggle drugs into a country is to place them carefully in a dog's bottom... because at the airport, if the sniffer dog suspects anything, the officials will think they're just being frisky... unless of course your dog wears sunglasses and sweats a lot. ",Animal,,,,http://jokes.cc.com/funny-animal/c9rx4f/ardal-o-hanlon--drug-smuggling-with-dogs
20,20,"Q: If your wife is shouting at the front door and your dog is barking at the back door, who do you let in first? A: The dog -- at least he'll quiet down after you let him in.  ",Animal,,,,http://jokes.cc.com/funny-animal/24zq0h/at-the-door
