,text,ratingVal,ratingCount,tags
0,"If i had a dollar for every girl that found me unattractive, they would eventually find me attractive.",78.47,1716,"beauty, women"
1,What's the difference between your wife and your job? After five years your job will still suck.,78.44,1309,"dirty, marriage, women"
2,A recent study has found that women who carry a little extra weight live longer than the men who mention it.,78.44,1762,"attitude, life, men, women"
3,"Today a man knocked on my door and asked for a small donation towards the local swimming pool. I gave him a glass of water.
",78.44,3184,"life, sport"
4,"I find it ironic that the colors red, white, and blue stand for freedom until they are flashing behind you.",78.39,1903,life
5,"Just read that 4,153,237 people got married last year, not to cause any trouble but shouldn't that be an even number?",78.38,2018,"life, marriage, people"
6,"Alcohol is a perfect solvent: It dissolves marriages, families and careers.",78.34,549,"alcohol, life, marriage"
7,"When wearing a bikini, women reveal 90 % of their body... men are so polite they only look at the covered parts.",78.24,2062,"men, sarcastic, women"
8,"I want to die peacefully in my sleep, like my grandfather.. Not screaming and yelling like the passengers in his car.",78.21,1949,"car, sarcastic"
9,How do I disable the autocorrect function on my wife?,78.16,688,"marriage, women"
0,"Life is like toilet paper, you're either on a roll or taking shit from some asshole.",78.08,1613,"dirty, life"
1,My therapist says I have a preoccupation with vengeance. We'll see about that.,78.06,665,"attitude, life"
2,"If you think nobody cares whether you're alive, try missing a couple of payments.",78.05,472,"life, money"
3,Life is all about perspective. The sinking of the Titanic was a miracle to the lobsters in the ship's kitchen.,78.05,1073,"animal, attitude"
4,Never get on one knee for a girl who won't get on two for you.,78.04,1005,"love, marriage"
5,My wife had her driver's test the other day. She got 8 out of 10. The other 2 guys jumped clear.,77.91,133,"car, women"
6,"I'm great at multitasking. I can waste time, be unproductive, and procrastinate all at once.",77.88,596,"life, time, work"
7,My wife and I were happy for twenty years. Then we met.,77.81,812,marriage
8,Isn't it great to live in the 21st century? Where deleting history has become more important than making it.,77.80,1018,attitude
9,You know you're ugly when it comes to a group picture and they hand you the camera.,77.78,859,"life, rude, ugly"
0,Relationships are a lot like algebra.  Have you ever looked at your X and wondered Y?,77.74,723,"life, love"
1,Is your ass jealous of the amount of shit that just came out of your mouth?,77.72,3572,insults
2,I think my neighbor is stalking me as she's been googling my name on her computer. I saw it through my telescope last night.,77.70,1364,"IT, sarcastic, stupid"
3,"You're not fat, you're just... easier to see.",77.64,925,"attitude, life, motivational"
4,Strong people don't put others down. They lift them up and slam them on the ground for maximum damage.,77.64,1124,"life, sarcastic"
5,I hate when I am about to hug someone really sexy and my face hits the mirror.,77.47,1050,"hate, life, sarcastic"
6,"Before I criticize a man, I like to walk a mile in his shoes. That way, when I do criticize him, I'm a mile away and I have his shoes.",77.46,238,"attitude, communication, life"
7,"I'm not saying I hate you, but I would unplug your life support to charge my phone.",77.46,823,"attitude, hate, life, rude, stupid"
8,"I asked God for a bike, but I know God doesn't work that way. So I stole a bike and asked for forgiveness.",77.42,774,God
9,"I changed my password to ""incorrect"". So whenever I forget what it is the computer will say ""Your password is incorrect"".",77.40,1420,"attitude, IT, life"
0,My favorite mythical creature? The honest politician.,77.38,341,political
1,"Did you know that dolphins are so smart that within a few weeks of captivity, they can train people to stand on the very edge of the pool and throw them fish?",77.31,191,"animal, people"
2,Apparently I snore so loudly that it scares everyone in the car I'm driving.,77.29,713,"car, life, sarcastic"
3,"That awkward moment when you leave a store without buying anything and all you can think is ""act natural, you're innocent"".",77.22,959,"life, money"
4,"Politicians and diapers have one thing in common. They should both be changed regularly, and for the same reason.",77.18,487,political
5,"Childs experience: if a mother is laughing at the fathers jokes, it means they have guests.",77.10,471,"Father's Day, marriage"
6,Money talks ...but all mine ever says is good-bye.,77.10,509,money
7,I can totally keep secrets. It's the people I tell them to that can't.,77.08,351,"attitude, life, sarcastic"
8,"When my boss asked me who is the stupid one, me or him? I told him everyone knows he doesn't hire stupid people.",77.08,442,"attitude, men, work"
